account id, bill id, billing address, amount (cents)
1,1,5873 Rose Turnpike,1000
1,2,5873 Rose Turnpike,1900
1,3,5873 Rose Turnpike,1400
1,4,5873 Rose Turnpike,100
1,5,5873 Rose Turnpike,1900
2,6,10927 Children Crescent,1400
2,7,10927 Children Crescent,700
2,8,10927 Children Crescent,1600
2,9,10927 Children Crescent,100
2,10,10927 Children Crescent,500
2,11,10927 Children Crescent,200
2,12,10927 Children Crescent,800
2,13,10927 Children Crescent,1400
2,14,10927 Children Crescent,1300
2,15,10927 Children Crescent,1300
2,16,10927 Children Crescent,300
2,17,10927 Children Crescent,700
2,18,10927 Children Crescent,500
2,19,10927 Children Crescent,1800
2,20,10927 Children Crescent,200
2,21,10927 Children Crescent,900
2,22,10927 Children Crescent,700
2,23,10927 Children Crescent,300
2,24,10927 Children Crescent,100
2,25,10927 Children Crescent,900
2,26,10927 Children Crescent,300
2,27,10927 Children Crescent,600
2,28,10927 Children Crescent,1800
2,29,10927 Children Crescent,1800
2,30,10927 Children Crescent,900
2,31,10927 Children Crescent,1300
2,32,10927 Children Crescent,400
2,33,10927 Children Crescent,100
2,34,10927 Children Crescent,200
3,35,24727 Shards Highway,100
3,36,24727 Shards Highway,600
3,37,24727 Shards Highway,300
3,38,24727 Shards Highway,100
3,39,24727 Shards Highway,100
4,40,18355 Healing Turnpike,2000
4,41,18355 Healing Turnpike,200
4,42,18355 Healing Turnpike,1600
4,43,18355 Healing Turnpike,200
4,44,18355 Healing Turnpike,1500
4,45,18355 Healing Turnpike,1000
4,46,18355 Healing Turnpike,1400
4,47,18355 Healing Turnpike,700
4,48,18355 Healing Turnpike,1500
4,49,18355 Healing Turnpike,1800
4,50,18355 Healing Turnpike,400
4,51,18355 Healing Turnpike,600
4,52,18355 Healing Turnpike,1400
4,53,18355 Healing Turnpike,1400
4,54,18355 Healing Turnpike,1800
4,55,18355 Healing Turnpike,800
4,56,18355 Healing Turnpike,300
4,57,18355 Healing Turnpike,1800
5,58,11505 Souls Street,500
5,59,11505 Souls Street,800
5,60,11505 Souls Street,1900
5,61,11505 Souls Street,200
5,62,11505 Souls Street,1200
5,63,11505 Souls Street,1900
5,64,11505 Souls Street,500
5,65,11505 Souls Street,2000
5,66,11505 Souls Street,1200
5,67,11505 Souls Street,1800
5,68,11505 Souls Street,300
5,69,11505 Souls Street,700
5,70,11505 Souls Street,2000
5,71,11505 Souls Street,400
5,72,11505 Souls Street,1000
5,73,11505 Souls Street,1300
5,74,11505 Souls Street,1000
5,75,11505 Souls Street,900
5,76,11505 Souls Street,1700
5,77,11505 Souls Street,1500
5,78,11505 Souls Street,1100
5,79,11505 Souls Street,500
6,80,23654 School Way,2000
6,81,23654 School Way,1400
6,82,23654 School Way,1200
6,83,23654 School Way,600
6,84,23654 School Way,1800
6,85,23654 School Way,1400
7,86,13421 Hustler Way,300
7,87,13421 Hustler Way,1300
7,88,13421 Hustler Way,100
7,89,13421 Hustler Way,100
7,90,13421 Hustler Way,1800
7,91,13421 Hustler Way,1300
7,92,13421 Hustler Way,1600
7,93,13421 Hustler Way,100
7,94,13421 Hustler Way,700
7,95,13421 Hustler Way,1700
7,96,13421 Hustler Way,600
7,97,13421 Hustler Way,300
7,98,13421 Hustler Way,1200
7,99,13421 Hustler Way,1400
7,100,13421 Hustler Way,1100
8,101,2565 Bridges Bay,1100
